City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,puerto baquerizo moreno,-0.9,-89.6,27.55,65,75,6.17,EC,1694552045
212,sabang,5.8933,95.3214,28.17,79,100,5.2,ID,1694552045
213,vila franca do campo,37.7167,-25.4333,22.23,99,100,1.39,PT,1694552046
214,dogubayazit,39.5469,44.0842,11.54,90,100,0.23,TR,1694552046
215,naze,28.3667,129.4833,26.51,84,81,4.14,JP,1694552047
216,st. john's,47.5649,-52.7093,14.98,89,100,7.2,CA,1694552035
217,eirunepe,-6.6603,-69.8736,31.74,50,92,1.53,BR,1694551828
218,pacific grove,36.6177,-121.9166,24.56,85,75,4.12,US,1694552048
219,al mijlad,11.0333,27.7333,26.28,73,66,3.86,SD,1694552049
220,susuman,62.7833,148.1667,4.35,70,100,0.75,RU,1694552049
221,mount gambier,-37.8333,140.7667,10.72,79,97,2.29,AU,1694552050
222,kapa'a,22.0752,-159.319,28.99,69,100,5.66,US,1694552050
223,djibo,14.1022,-1.6306,28.86,55,85,6.01,BF,1694552051
224,ancud,-41.8697,-73.8203,9.56,83,95,4.82,CL,1694552051
225,selfoss,63.9331,-20.9971,6.69,77,100,2.96,IS,1694552052
226,darwin,-12.4611,130.8418,22.99,88,0,2.57,AU,1694551879
227,yaren,-0.5472,166.916,28.49,67,91,0.75,NR,1694552053
228,al kharijah,25.4514,30.5464,28.81,38,0,3.61,EG,1694552053
229,kaliyaganj,25.6333,88.3167,27.68,85,95,1.46,IN,1694552054
230,brookings,44.3114,-96.7984,22.19,52,0,2.57,US,1694552055
231,mitu,1.1983,-70.1733,27.9,82,99,0.58,CO,1694551980
232,surab,28.4914,66.2585,22.72,15,0,2.18,PK,1694552056
233,palmer,42.1584,-72.3287,28.06,61,40,2.57,US,1694552023
234,galle,6.0367,80.217,26.05,87,100,5.03,LK,1694552057
235,georgetown,5.4112,100.3354,26.96,92,20,1.03,MY,1694551971
236,cova figueira,14.8905,-24.2934,24.95,85,24,4.12,CV,1694552058
237,changyon,38.2508,125.0961,20.31,78,100,1.2,KP,1694552059
238,micheweni,-4.9667,39.8333,24.85,85,5,5.5,TZ,1694552059
239,kone,-21.0595,164.8658,20.86,71,11,2.2,NC,1694552060
240,nyurba,63.2842,118.3319,2.7,98,89,2.53,RU,1694552060
241,kerikeri,-35.2268,173.9474,11.06,94,3,0.45,NZ,1694552061
242,khabarovsk,48.4808,135.0928,7.89,93,0,4.02,RU,1694552061
